,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
769,Arthritis, muscle weakness, stiff_neck, swelling_joints, movement_stiffness
770,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
771,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
772,(vertigo) Paroymsal  Positional Vertigo, headache, nausea, spinning_movements, loss of balance
773,(vertigo) Paroymsal  Positional Vertigo, vomiting, nausea, spinning_movements, loss of balance
774,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, spinning_movements, loss of balance
775,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss of balance
776,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
777,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
778,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
779,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss of balance
780,Acne, skin rash, pus_filled_pimples, blackheads, scurring
781,Acne, skin rash, pus_filled_pimples, blackheads, scurring
782,Acne, pus_filled_pimples, blackheads, scurring,
783,Acne, skin rash, blackheads, scurring,
784,Acne, skin rash, pus_filled_pimples, scurring,
785,Acne, skin rash, pus_filled_pimples, blackheads,
786,Acne, skin rash, pus_filled_pimples, blackheads, scurring
787,Acne, skin rash, pus_filled_pimples, blackheads,
788,Acne, skin rash, pus_filled_pimples, scurring,
789,Acne, skin rash, blackheads, scurring,
790,Urinary tract infection, burning micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
791,Urinary tract infection, burning micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
792,Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
793,Urinary tract infection, burning micturition, foul_smell_of urine, continuous_feel_of_urine,
794,Urinary tract infection, burning micturition, bladder_discomfort, continuous_feel_of_urine,
795,Urinary tract infection, burning micturition, bladder_discomfort, foul_smell_of urine,
796,Urinary tract infection, burning micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
797,Urinary tract infection, burning micturition, bladder_discomfort, continuous_feel_of_urine,
798,Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
799,Urinary tract infection, burning micturition, bladder_discomfort, continuous_feel_of_urine,
800,Psoriasis, skin rash, joint pain, skin peeling, silver_like_dusting
801,Psoriasis, skin rash, joint pain, skin peeling, silver_like_dusting
802,Psoriasis, joint pain, skin peeling, silver_like_dusting, small_dents_in_nails
803,Psoriasis, skin rash, skin peeling, silver_like_dusting, small_dents_in_nails
804,Psoriasis, skin rash, joint pain, silver_like_dusting, small_dents_in_nails
805,Psoriasis, skin rash, joint pain, skin peeling, small_dents_in_nails
806,Psoriasis, skin rash, joint pain, skin peeling, silver_like_dusting
807,Psoriasis, skin rash, joint pain, skin peeling, silver_like_dusting
808,Psoriasis, skin rash, joint pain, skin peeling, silver_like_dusting
809,Psoriasis, skin rash, joint pain, skin peeling, silver_like_dusting
810,Impetigo, skin rash, high fever, blister, red_sore_around_nose
811,Impetigo, skin rash, high fever, blister, red_sore_around_nose
812,Impetigo, high fever, blister, red_sore_around_nose, yellow_crust_ooze
813,Impetigo, skin rash, blister, red_sore_around_nose, yellow_crust_ooze
814,Impetigo, skin rash, blister, red_sore_around_nose, yellow_crust_ooze
815,Impetigo, skin rash, high fever, red_sore_around_nose, yellow_crust_ooze
816,Impetigo, skin rash, high fever, blister, yellow_crust_ooze
817,Impetigo, skin rash, high fever, blister, red_sore_around_nose
818,Impetigo, skin rash, high fever, blister, red_sore_around_nose
819,Impetigo, skin rash, blister, red_sore_around_nose, yellow_crust_ooze
820,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic _patches
821,Fungal infection, skin rash, nodal skin eruptions, dischromic _patches,
822,Fungal infection,itching, nodal skin eruptions, dischromic _patches,
823,Fungal infection,itching, skin rash, dischromic _patches,
824,Fungal infection,itching, skin rash, nodal skin eruptions,
825,Fungal infection, skin rash, nodal skin eruptions, dischromic _patches,
826,Fungal infection,itching, nodal skin eruptions, dischromic _patches,
827,Fungal infection,itching, skin rash, dischromic _patches,
828,Fungal infection,itching, skin rash, nodal skin eruptions,
829,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic _patches
830,Allergy, continuous sneezing, shivering, chills, watering_from_eyes
831,Allergy, shivering, chills, watering_from_eyes,
832,Allergy, continuous sneezing, chills, watering_from_eyes,
833,Allergy, continuous sneezing, shivering, watering_from_eyes,
834,Allergy, continuous sneezing, shivering, chills,
835,Allergy, shivering, chills, watering_from_eyes,
836,Allergy, continuous sneezing, chills, watering_from_eyes,
837,Allergy, continuous sneezing, shivering, watering_from_eyes,
838,Allergy, continuous sneezing, shivering, chills,
839,Allergy, continuous sneezing, shivering, chills, watering_from_eyes
840,GERD, stomach pain, acidity, ulcers on tongue, vomiting
841,GERD, stomach pain, ulcers on tongue, vomiting, cough
842,GERD, stomach pain, acidity, vomiting, cough
843,GERD, stomach pain, acidity, ulcers on tongue, cough
844,GERD, stomach pain, acidity, ulcers on tongue, vomiting
845,GERD, stomach pain, acidity, ulcers on tongue, vomiting
846,GERD, acidity, ulcers on tongue, vomiting, cough
847,GERD, stomach pain, ulcers on tongue, vomiting, cough
848,GERD, stomach pain, acidity, vomiting, cough
849,GERD, stomach pain, acidity, ulcers on tongue, cough
850,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
851,Chronic cholestasis, vomiting, yellowish skin, nausea, loss of appetite
852,Chronic cholestasis,itching, yellowish skin, nausea, loss of appetite
853,Chronic cholestasis,itching, vomiting, nausea, loss of appetite
854,Chronic cholestasis,itching, vomiting, yellowish skin, loss of appetite
855,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
856,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
857,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
858,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
859,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
860,Drug Reaction,itching, skin rash, stomach pain, burning micturition
861,Drug Reaction,itching, stomach pain, burning micturition, spotting_ urination
862,Drug Reaction,itching, skin rash, burning micturition, spotting_ urination
863,Drug Reaction,itching, skin rash, stomach pain, spotting_ urination
864,Drug Reaction,itching, skin rash, stomach pain, burning micturition
865,Drug Reaction, skin rash, stomach pain, burning micturition, spotting_ urination
866,Drug Reaction,itching, stomach pain, burning micturition, spotting_ urination
867,Drug Reaction,itching, skin rash, burning micturition, spotting_ urination
868,Drug Reaction,itching, skin rash, stomach pain, spotting_ urination
869,Drug Reaction,itching, skin rash, stomach pain, burning micturition
870,Peptic ulcer diseae, vomiting, loss of appetite, abdominal pain, passage_of_gases
871,Peptic ulcer diseae, vomiting, indigestion, abdominal pain, passage_of_gases
872,Peptic ulcer diseae, indigestion, loss of appetite, abdominal pain, passage_of_gases
873,Peptic ulcer diseae, vomiting, loss of appetite, abdominal pain, passage_of_gases
874,Peptic ulcer diseae, vomiting, indigestion, abdominal pain, passage_of_gases
875,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, passage_of_gases
876,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
877,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
878,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
879,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
880, cold, muscle wasting, patches in throat, high fever, extra_marital_contacts
881, cold, patches in throat, high fever, extra_marital_contacts,
882, cold, muscle wasting, high fever, extra_marital_contacts,
883, cold, muscle wasting, patches in throat, extra_marital_contacts,
884, cold, muscle wasting, patches in throat, high fever,
885, cold, muscle wasting, patches in throat, high fever, extra_marital_contacts
886, cold, muscle wasting, patches in throat, high fever, extra_marital_contacts
887, cold, patches in throat, high fever, extra_marital_contacts,
888, cold, muscle wasting, high fever, extra_marital_contacts,
889, cold, muscle wasting, patches in throat, high fever,
890,Diabetes , fatigue, weight loss, restlessness, lethargy
891,Diabetes , fatigue, weight loss, restlessness, lethargy
892,Diabetes , weight loss, restlessness, lethargy, irregular sugar level
893,Diabetes , fatigue, restlessness, lethargy, irregular sugar level
894,Diabetes , fatigue, weight loss, lethargy, irregular sugar level
895,Diabetes , fatigue, weight loss, restlessness, irregular sugar level
896,Diabetes , fatigue, weight loss, restlessness, lethargy
897,Diabetes , fatigue, weight loss, restlessness, lethargy
898,Diabetes , fatigue, weight loss, restlessness, lethargy
899,Diabetes , fatigue, weight loss, restlessness, lethargy
900,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
901,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
902,Gastroenteritis, sunken eyes, dehydration, diarrhoea,
903,Gastroenteritis, vomiting, dehydration, diarrhoea,
904,Gastroenteritis, vomiting, sunken eyes, diarrhoea,
905,Gastroenteritis, vomiting, sunken eyes, dehydration,
906,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
907,Gastroenteritis, sunken eyes, dehydration, diarrhoea,
908,Gastroenteritis, vomiting, dehydration, diarrhoea,
909,Gastroenteritis, vomiting, sunken eyes, diarrhoea,
910,Bronchial Asthma, fatigue, cough, high fever, breathlessness
911,Bronchial Asthma, cough, high fever, breathlessness, family_history
912,Bronchial Asthma, fatigue, high fever, breathlessness, family_history
913,Bronchial Asthma, fatigue, cough, breathlessness, family_history
914,Bronchial Asthma, fatigue, cough, high fever, family_history
915,Bronchial Asthma, fatigue, cough, high fever, breathlessness
916,Bronchial Asthma, fatigue, cough, high fever, breathlessness
917,Bronchial Asthma, fatigue, cough, high fever, breathlessness
918,Bronchial Asthma, cough, high fever, breathlessness, family_history
919,Bronchial Asthma, fatigue, high fever, breathlessness, family_history
920,Hypertension , headache, chest pain, dizziness, loss of balance
921,Hypertension , chest pain, dizziness, loss of balance, lack_of_concentration
922,Hypertension , headache, dizziness, loss of balance, lack_of_concentration
923,Hypertension , headache, chest pain, loss of balance, lack_of_concentration
924,Hypertension , headache, chest pain, dizziness, lack_of_concentration
925,Hypertension , headache, chest pain, dizziness, loss of balance
926,Hypertension , headache, chest pain, dizziness, loss of balance
927,Hypertension , chest pain, dizziness, loss of balance, lack_of_concentration
928,Hypertension , headache, dizziness, loss of balance, lack_of_concentration
929,Hypertension , headache, chest pain, loss of balance, lack_of_concentration
930,Migraine, acidity, indigestion, headache, blurred and distorted vision
931,Migraine, indigestion, headache, blurred and distorted vision, excessive hunger
932,Migraine, acidity, headache, blurred and distorted vision, excessive hunger
933,Migraine, acidity, indigestion, blurred and distorted vision, excessive hunger
934,Migraine, acidity, indigestion, headache, excessive hunger
935,Migraine, acidity, indigestion, headache, blurred and distorted vision
936,Migraine, acidity, indigestion, headache, blurred and distorted vision
937,Migraine, acidity, indigestion, headache, blurred and distorted vision
938,Migraine, acidity, indigestion, headache, blurred and distorted vision
939,Migraine, acidity, indigestion, headache, blurred and distorted vision
940,Cervical spondylosis, back pain, weakness_in_limbs, neck pain, dizziness
941,Cervical spondylosis, back pain, weakness_in_limbs, neck pain, dizziness
942,Cervical spondylosis, weakness_in_limbs, neck pain, dizziness, loss of balance
943,Cervical spondylosis, back pain, neck pain, dizziness, loss of balance
944,Cervical spondylosis, back pain, weakness_in_limbs, dizziness, loss of balance
945,Cervical spondylosis, back pain, weakness_in_limbs, neck pain, loss of balance
946,Cervical spondylosis, back pain, weakness_in_limbs, neck pain, dizziness
947,Cervical spondylosis, back pain, weakness_in_limbs, neck pain, dizziness
948,Cervical spondylosis, weakness_in_limbs, neck pain, dizziness, loss of balance
949,Cervical spondylosis, back pain, neck pain, dizziness, loss of balance
950,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
951,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
952,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,
953,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,
954,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,
955,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,
956,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
957,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,
958,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,
959,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,
960,Jaundice,itching, vomiting, fatigue, weight loss
961,Jaundice,itching, vomiting, fatigue, weight loss
962,Jaundice, vomiting, fatigue, weight loss, high fever
963,Jaundice,itching, fatigue, weight loss, high fever
964,Jaundice,itching, vomiting, weight loss, high fever
965,Jaundice,itching, vomiting, fatigue, high fever
966,Jaundice,itching, vomiting, fatigue, weight loss
967,Jaundice,itching, vomiting, fatigue, weight loss
968,Jaundice,itching, vomiting, fatigue, weight loss
969,Jaundice,itching, vomiting, fatigue, weight loss
970,Malaria, chills, vomiting, high fever, sweating
971,Malaria, chills, vomiting, high fever, sweating
972,Malaria, chills, vomiting, high fever, sweating
973,Malaria, vomiting, high fever, sweating, headache
974,Malaria, chills, high fever, sweating, headache
975,Malaria, chills, vomiting, sweating, headache
976,Malaria, chills, vomiting, high fever, headache
977,Malaria, chills, vomiting, high fever, sweating
978,Malaria, chills, vomiting, high fever, sweating
979,Malaria, chills, vomiting, high fever, sweating
980,Chicken pox,itching, skin rash, fatigue, lethargy
981,Chicken pox, skin rash, fatigue, lethargy, high fever
982,Chicken pox,itching, fatigue, lethargy, high fever
983,Chicken pox,itching, skin rash, lethargy, high fever
984,Chicken pox,itching, skin rash, fatigue, high fever
985,Chicken pox,itching, skin rash, fatigue, lethargy
986,Chicken pox,itching, skin rash, fatigue, lethargy
987,Chicken pox,itching, skin rash, fatigue, lethargy
988,Chicken pox,itching, skin rash, fatigue, lethargy
989,Chicken pox,itching, skin rash, fatigue, lethargy
990,Dengue, skin rash, chills, joint pain, vomiting
991,Dengue, skin rash, chills, joint pain, vomiting
992,Dengue, skin rash, chills, joint pain, vomiting
993,Dengue, skin rash, chills, joint pain, vomiting
994,Dengue, chills, joint pain, vomiting, fatigue
995,Dengue, skin rash, joint pain, vomiting, fatigue
996,Dengue, skin rash, chills, vomiting, fatigue
997,Dengue, skin rash, chills, joint pain, fatigue
998,Dengue, skin rash, chills, joint pain, vomiting
999,Dengue, skin rash, chills, joint pain, vomiting
1000,Allergy, chills, vomiting, fatigue, high fever
1001,Allergy, chills, vomiting, fatigue, high fever
1002,Allergy, chills, vomiting, fatigue, high fever
1003,Allergy, chills, vomiting, fatigue, high fever
1004,Allergy, chills, vomiting, fatigue, high fever
1005,Allergy, chills, vomiting, fatigue, high fever
1006,Allergy, chills, vomiting, fatigue, high fever
1007,Allergy, chills, vomiting, fatigue, high fever
1008,Allergy, chills, vomiting, fatigue, high fever
1009,Allergy, chills, fatigue, high fever, headache
1010,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
1011,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
1012,hepatitis A, vomiting, yellowish skin, dark urine, nausea
1013,hepatitis A, joint pain, yellowish skin, dark urine, nausea
1014,hepatitis A, joint pain, vomiting, dark urine, nausea
1015,hepatitis A, joint pain, vomiting, yellowish skin, nausea
1016,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
1017,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
1018,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
1019,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
1020,Hepatitis B,itching, fatigue, lethargy, yellowish skin
1021,Hepatitis B,itching, fatigue, lethargy, yellowish skin
1022,Hepatitis B, fatigue, lethargy, yellowish skin, dark urine
1023,Hepatitis B,itching, lethargy, yellowish skin, dark urine
1024,Hepatitis B,itching, fatigue, yellowish skin, dark urine
1025,Hepatitis B,itching, fatigue, lethargy, dark urine
1026,Hepatitis B,itching, fatigue, lethargy, yellowish skin
1027,Hepatitis B,itching, fatigue, lethargy, yellowish skin
1028,Hepatitis B,itching, fatigue, lethargy, yellowish skin
1029,Hepatitis B,itching, fatigue, lethargy, yellowish skin
1030,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
1031,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
1032,Hepatitis C, yellowish skin, nausea, loss of appetite, yellowing of eyes
1033,Hepatitis C, fatigue, nausea, loss of appetite, yellowing of eyes
1034,Hepatitis C, fatigue, yellowish skin, loss of appetite, yellowing of eyes
1035,Hepatitis C, fatigue, yellowish skin, nausea, yellowing of eyes
1036,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
1037,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
1038,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
1039,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
1040,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
1041,Hepatitis D, vomiting, fatigue, yellowish skin, dark urine
1042,Hepatitis D, joint pain, fatigue, yellowish skin, dark urine
1043,Hepatitis D, joint pain, vomiting, yellowish skin, dark urine
1044,Hepatitis D, joint pain, vomiting, fatigue, dark urine
1045,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
1046,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
1047,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
1048,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
1049,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
1050,Hepatitis E, joint pain, vomiting, fatigue, high fever
1051,Hepatitis E, joint pain, vomiting, fatigue, high fever
1052,Hepatitis E, joint pain, vomiting, fatigue, high fever
1053,Hepatitis E, vomiting, fatigue, high fever, yellowish skin
1054,Hepatitis E, joint pain, fatigue, high fever, yellowish skin
1055,Hepatitis E, joint pain, vomiting, high fever, yellowish skin
1056,Hepatitis E, joint pain, vomiting, fatigue, yellowish skin
1057,Hepatitis E, joint pain, vomiting, fatigue, high fever
1058,Hepatitis E, joint pain, vomiting, fatigue, high fever
1059,Hepatitis E, joint pain, vomiting, fatigue, high fever
1060,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
1061,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
1062,Alcoholic hepatitis, yellowish skin, abdominal pain, swelling of stomach, distention_of_abdomen
1063,Alcoholic hepatitis, vomiting, abdominal pain, swelling of stomach, distention_of_abdomen
1064,Alcoholic hepatitis, vomiting, yellowish skin, swelling of stomach, distention_of_abdomen
1065,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, distention_of_abdomen
1066,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
1067,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
1068,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
1069,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
1070,Tuberculosis, chills, vomiting, fatigue, weight loss
1071,Tuberculosis, chills, vomiting, fatigue, weight loss
1072,Tuberculosis, vomiting, fatigue, weight loss, cough
1073,Tuberculosis, chills, fatigue, weight loss, cough
1074,Tuberculosis, chills, vomiting, weight loss, cough
1075,Tuberculosis, chills, vomiting, fatigue, cough
1076,Tuberculosis, chills, vomiting, fatigue, weight loss
1077,Tuberculosis, chills, vomiting, fatigue, weight loss
1078,Tuberculosis, chills, vomiting, fatigue, weight loss
1079,Tuberculosis, chills, vomiting, fatigue, weight loss
1080,Common Cold, continuous sneezing, chills, fatigue, cough
1081,Common Cold, continuous sneezing, chills, fatigue, cough
1082,Common Cold, chills, fatigue, cough, high fever
1083,Common Cold, continuous sneezing, fatigue, cough, high fever
1084,Common Cold, continuous sneezing, chills, cough, high fever
1085,Common Cold, continuous sneezing, chills, fatigue, high fever
1086,Common Cold, continuous sneezing, chills, fatigue, cough
1087,Common Cold, continuous sneezing, chills, fatigue, cough
1088,Common Cold, continuous sneezing, chills, fatigue, cough
1089,Common Cold, continuous sneezing, chills, fatigue, cough
1090,Pneumonia, chills, fatigue, cough, high fever
1091,Pneumonia, chills, fatigue, cough, high fever
1092,Pneumonia, chills, fatigue, cough, high fever
1093,Pneumonia, fatigue, cough, high fever, breathlessness
1094,Pneumonia, chills, cough, high fever, breathlessness
1095,Pneumonia, chills, fatigue, high fever, breathlessness
1096,Pneumonia, chills, fatigue, cough, breathlessness
1097,Pneumonia, chills, fatigue, cough, high fever
1098,Pneumonia, chills, fatigue, cough, high fever
1099,Pneumonia, chills, fatigue, cough, high fever
1100,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1101,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1102,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1103,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus
1104,Dimorphic hemmorhoids(piles), constipation, pain_in_anal_region, bloody_stool, irritation_in_anus
1105,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus
1106,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, irritation_in_anus
1107,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1108,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1109,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1110,Heart attack, vomiting, breathlessness, sweating, chest pain
1111,Heart attack, vomiting, breathlessness, sweating, chest pain
1112,Heart attack, breathlessness, sweating, chest pain,
1113,Heart attack, vomiting, sweating, chest pain,
1114,Heart attack, vomiting, breathlessness, chest pain,
1115,Heart attack, vomiting, breathlessness, sweating,
1116,Heart attack, vomiting, breathlessness, sweating, chest pain
1117,Heart attack, breathlessness, sweating, chest pain,
1118,Heart attack, vomiting, sweating, chest pain,
1119,Heart attack, vomiting, breathlessness, chest pain,
1120,Varicose veins, fatigue, cramps, bruising, obesity
1121,Varicose veins, fatigue, cramps, bruising, obesity
1122,Varicose veins, cramps, bruising, obesity, swollen legs
1123,Varicose veins, fatigue, bruising, obesity, swollen legs
1124,Varicose veins, fatigue, cramps, obesity, swollen legs
1125,Varicose veins, fatigue, cramps, bruising, swollen legs
1126,Varicose veins, fatigue, cramps, bruising, obesity
1127,Varicose veins, fatigue, cramps, bruising, obesity
1128,Varicose veins, fatigue, cramps, bruising, obesity
1129,Varicose veins, fatigue, cramps, bruising, obesity
1130,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
1131,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
1132,Hypothyroidism, weight gain, cold hands and feets, mood swings, lethargy
1133,Hypothyroidism, weight gain, cold hands and feets, mood swings, lethargy
1134,Hypothyroidism, fatigue, cold hands and feets, mood swings, lethargy
1135,Hypothyroidism, fatigue, weight gain, mood swings, lethargy
1136,Hypothyroidism, fatigue, weight gain, cold hands and feets, lethargy
1137,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
1138,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
1139,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
1140,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
1141,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
1142,Hyperthyroidism, mood swings, weight loss, restlessness, sweating
1143,Hyperthyroidism, fatigue, weight loss, restlessness, sweating
1144,Hyperthyroidism, fatigue, mood swings, restlessness, sweating
1145,Hyperthyroidism, fatigue, mood swings, weight loss, sweating
1146,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
1147,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
1148,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
1149,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
1150,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1151,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1152,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1153,Hypoglycemia, fatigue, anxiety, sweating, headache
1154,Hypoglycemia, vomiting, anxiety, sweating, headache
1155,Hypoglycemia, vomiting, fatigue, sweating, headache
1156,Hypoglycemia, vomiting, fatigue, anxiety, headache
1157,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1158,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1159,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1160,Osteoarthristis, joint pain, neck pain, knee pain, hip_joint pain
1161,Osteoarthristis, joint pain, neck pain, knee pain, hip_joint pain
1162,Osteoarthristis, neck pain, knee pain, hip_joint pain, swelling_joints
1163,Osteoarthristis, joint pain, knee pain, hip_joint pain, swelling_joints
1164,Osteoarthristis, joint pain, neck pain, hip_joint pain, swelling_joints
1165,Osteoarthristis, joint pain, neck pain, knee pain, swelling_joints
1166,Osteoarthristis, joint pain, neck pain, knee pain, hip_joint pain
1167,Osteoarthristis, joint pain, neck pain, knee pain, hip_joint pain
1168,Osteoarthristis, joint pain, neck pain, knee pain, hip_joint pain
1169,Osteoarthristis, joint pain, neck pain, knee pain, hip_joint pain
1170,Arthritis, muscle weakness, stiff_neck, swelling_joints, movement_stiffness
1171,Arthritis, muscle weakness, stiff_neck, swelling_joints, movement_stiffness
1172,Arthritis, stiff_neck, swelling_joints, movement_stiffness, painful_walking
1173,Arthritis, muscle weakness, swelling_joints, movement_stiffness, painful_walking
1174,Arthritis, muscle weakness, stiff_neck, movement_stiffness, painful_walking
1175,Arthritis, muscle weakness, stiff_neck, swelling_joints, painful_walking
1176,Arthritis, muscle weakness, stiff_neck, swelling_joints, movement_stiffness
1177,Arthritis, muscle weakness, stiff_neck, swelling_joints, movement_stiffness
1178,Arthritis, muscle weakness, stiff_neck, swelling_joints, movement_stiffness
1179,Arthritis, muscle weakness, stiff_neck, swelling_joints, movement_stiffness
1180,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
1181,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
1182,(vertigo) Paroymsal  Positional Vertigo, headache, nausea, spinning_movements, loss of balance
1183,(vertigo) Paroymsal  Positional Vertigo, vomiting, nausea, spinning_movements, loss of balance
1184,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, spinning_movements, loss of balance
1185,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss of balance
1186,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
1187,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
1188,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
1189,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss of balance
1190,Acne, skin rash, pus_filled_pimples, blackheads, scurring
1191,Acne, skin rash, pus_filled_pimples, blackheads, scurring
1192,Acne, pus_filled_pimples, blackheads, scurring,
1193,Acne, skin rash, blackheads, scurring,
1194,Acne, skin rash, pus_filled_pimples, scurring,
1195,Acne, skin rash, pus_filled_pimples, blackheads,
1196,Acne, skin rash, pus_filled_pimples, blackheads, scurring
1197,Acne, skin rash, pus_filled_pimples, blackheads,
1198,Acne, skin rash, pus_filled_pimples, scurring,
1199,Acne, skin rash, blackheads, scurring,
1200,Urinary tract infection, burning micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
